Function: std::sort

N         M         strategy    variant     millisec        N         M         strategy    variant     millisec        
-         -         --------    -------     --------        -         -         --------    -------     --------        
10        1         random      ident       0.000000        10        1         random      reverse     0.000000        
10        1         random      revfront    0.000000        10        1         random      revback     0.001000        
10        1         random      sorted      0.000000        10        1         random      dither      0.001000        
10        2         random      ident       0.000000        10        2         random      reverse     0.000000        
10        2         random      revfront    0.000000        10        2         random      revback     0.000000        
10        2         random      sorted      0.001000        10        2         random      dither      0.000000        
10        4         random      ident       0.000000        10        4         random      reverse     0.000000        
10        4         random      revfront    0.000000        10        4         random      revback     0.000000        
10        4         random      sorted      0.000000        10        4         random      dither      0.000000        
10        8         random      ident       0.000000        10        8         random      reverse     0.000000        
10        8         random      revfront    0.000000        10        8         random      revback     0.000000        
10        8         random      sorted      0.000000        10        8         random      dither      0.000000        
10        16        random      ident       0.000000        10        16        random      reverse     0.000000        
10        16        random      revfront    0.000000        10        16        random      revback     0.000000        
10        16        random      sorted      0.000000        10        16        random      dither      0.000000        
test time: 0.000003 s.

N         M         strategy    variant     millisec        N         M         strategy    variant     millisec        
-         -         --------    -------     --------        -         -         --------    -------     --------        
100       1         random      ident       0.000000        100       1         random      reverse     0.001000        
100       1         random      revfront    0.001000        100       1         random      revback     0.000000        
100       1         random      sorted      0.001000        100       1         random      dither      0.001000        
100       2         random      ident       0.001000        100       2         random      reverse     0.001000        
100       2         random      revfront    0.001000        100       2         random      revback     0.001000        
100       2         random      sorted      0.001000        100       2         random      dither      0.001000        
100       4         random      ident       0.002000        100       4         random      reverse     0.001000        
100       4         random      revfront    0.002000        100       4         random      revback     0.001000        
100       4         random      sorted      0.001000        100       4         random      dither      0.002000        
100       8         random      ident       0.002000        100       8         random      reverse     0.002000        
100       8         random      revfront    0.001000        100       8         random      revback     0.002000        
100       8         random      sorted      0.002000        100       8         random      dither      0.002000        
100       16        random      ident       0.002000        100       16        random      reverse     0.002000        
100       16        random      revfront    0.002000        100       16        random      revback     0.002000        
100       16        random      sorted      0.001000        100       16        random      dither      0.003000        
100       32        random      ident       0.002000        100       32        random      reverse     0.002000        
100       32        random      revfront    0.002000        100       32        random      revback     0.003000        
100       32        random      sorted      0.001000        100       32        random      dither      0.002000        
100       64        random      ident       0.002000        100       64        random      reverse     0.003000        
100       64        random      revfront    0.002000        100       64        random      revback     0.003000        
100       64        random      sorted      0.001000        100       64        random      dither      0.002000        
100       128       random      ident       0.002000        100       128       random      reverse     0.003000        
100       128       random      revfront    0.002000        100       128       random      revback     0.003000        
100       128       random      sorted      0.002000        100       128       random      dither      0.002000        
test time: 0.000081 s.

N         M         strategy    variant     millisec        N         M         strategy    variant     millisec        
-         -         --------    -------     --------        -         -         --------    -------     --------        
1000      1         random      ident       0.008000        1000      1         random      reverse     0.007000        
1000      1         random      revfront    0.007000        1000      1         random      revback     0.008000        
1000      1         random      sorted      0.007000        1000      1         random      dither      0.016000        
1000      2         random      ident       0.012000        1000      2         random      reverse     0.012000        
1000      2         random      revfront    0.013000        1000      2         random      revback     0.012000        
1000      2         random      sorted      0.008000        1000      2         random      dither      0.017000        
1000      4         random      ident       0.019000        1000      4         random      reverse     0.016000        
1000      4         random      revfront    0.015000        1000      4         random      revback     0.016000        
1000      4         random      sorted      0.010000        1000      4         random      dither      0.017000        
1000      8         random      ident       0.018000        1000      8         random      reverse     0.018000        
1000      8         random      revfront    0.019000        1000      8         random      revback     0.019000        
1000      8         random      sorted      0.012000        1000      8         random      dither      0.020000        
1000      16        random      ident       0.021000        1000      16        random      reverse     0.021000        
1000      16        random      revfront    0.022000        1000      16        random      revback     0.021000        
1000      16        random      sorted      0.014000        1000      16        random      dither      0.021000        
1000      32        random      ident       0.026000        1000      32        random      reverse     0.025000        
